features,location,price
 100 m²  100 m²  3 hab.  2 baños ,"Carcelén, Quito",USD 132.000
 200 m²  145 m²  4 hab.  3 baños  1 estac. ,"El Inca, Quito",USD 99.500
 132 m²  132 m²  4 hab.  3 baños  1 estac. ,"El Pinar, Quito",USD 100.000
 143 m²  143 m²  4 hab.  3 baños ,"Norte de Quito, Quito",USD 140.000
 386 m²  386 m²  10 hab.  5 baños ,"Centro Norte, Quito",USD 245.000
 1900 m²  460 m²  4 hab.  5 baños ,"Guayllabamba, Quito",USD 143.000
 289 m²  289 m²  3 hab.  3 baños  6 estac. ,"Los Chillos, Quito",USD 265.000
 436 m²  436 m²  4 hab.  2 baños ,"Centro Norte, Quito",USD 295.000
 200 m²  125 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 88.000
 1050 m²  1050 m²  6 hab.  8 baños  10 estac. ,"Conocoto, Quito",USD 580.000
 141 m²  80 m²  3 hab.  1 baño ,"El Condado, Quito",USD 65.000
 144 m²  144 m²  4 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 99.900
 2385 m²  473 m²  3 hab.  3 baños  4 estac. ,"Pifo, Quito",USD 489.000
 555 m²  356 m²  4 hab.  3 baños  5 estac. ,"Cumbayá, Quito",USD 455.000
 140 m²  108 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 63.000
 1280 m²  1004 m²  5 baños  3 estac. ,"Puembo, Quito",USD 1.190.000
 926 m²  425 m²  4 hab.  4 baños ,"San Rafael, Quito",USD 250.000
 452 m²  343 m²  5 hab.  2 baños ,"El Condado, Quito",USD 278.000
 1740 m²  480 m²  4 hab.  3 baños  5 estac. ,"Nayón - Tanda, Quito",USD 950.000
 381 m²  307 m²  3 hab.  3 baños  2 estac. ,"San Juan de Cumbayá, Quito",USD 380.000
 164 m²  237 m²  3 hab.  4 baños  2 estac. ,"Sangolqui, Quito",USD 150.000
 72 m²  54 m²  2 hab.  1 baño  1 estac. ,"Sur de Quito, Quito",USD 35.000
 125 m²  125 m²  3 hab.  2 baños ,"Los Chillos, Quito",USD 75.000
 570 m²  423 m²  5 hab.  4 baños  4 estac. ,"Cumbayá, Quito",USD 490.000
 335 m²  163 m²  4 hab.  4 baños  2 estac. ,"Nayón - Tanda, Quito",USD 238.000
 1245 m²  405 m²  4 hab.  4 baños  3 estac. ,"Tumbaco, Quito",USD 395.000
 800 m²  476 m²  3 hab.  5 baños ,"Nayón - Tanda, Quito",USD 320.000
 1200 m²  580 m²  4 hab.  4 baños  4 estac. ,"Puembo, Quito",USD 950.000
 228 m²  228 m²  4 hab.  4 baños ,"Cumbayá, Quito",USD 254.000
 267 m²  3 hab.  2 baños  2 estac. ,"El Condado, Quito",USD 189.900
 170 m²  132 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 120.000
 480 m²  350 m²  4 hab.  3 baños  4 estac. ,"Cumbayá, Quito",USD 299.000
 954 m²  769 m²  8 hab.  9 baños ,"Sur de Quito, Quito",USD 600.000
 30000 m²  300 m²  2 hab.  3 baños ,"Checa, Quito",USD 1.200.000
 60 m²  43 m²  2 hab.  1 baño  1 estac. ,"La Armenia, Quito",USD 40.000
 150 m²  150 m²  5 hab.  3 baños ,"Sur de Quito, Quito",USD 160.000
 235 m²  204 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 208.000
 756 m²  344 m²  5 hab.  3 baños  5 estac. ,"Los Chillos, Quito",USD 330.000
 220 m²  220 m²  3 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 250.000
 444 m²  444 m²  3 hab.  3 baños  5 estac. ,"Calderón, Quito",USD 249.900
 167 m²  167 m²  3 hab.  4 baños ,"El Condado, Quito",USD 179.000
 9500 m²  480 m²  7 hab.  4 baños ,"Los Chillos, Quito",USD 440.000
 546 m²  313 m²  2 hab.  3 baños  4 estac. ,"Tumbaco, Quito",USD 350.000
 1040 m²  1040 m²  7 hab.  8 baños  9 estac. ,"El Pinar, Quito",USD 498.000
 242 m²  164 m²  3 hab.  3 baños  2 estac. ,"El Bosque , Quito",USD 190.000
 117 m²  117 m²  3 hab.  2 baños  2 estac. ,"Calderón, Quito",USD 86.000
 281 m²  224 m²  3 hab.  3 baños  3 estac. ,"Nayón, Quito",USD 340.000
 500 m²  304 m²  3 hab.  3 baños  2 estac. ,"Nayón - Tanda, Quito",USD 400.000
 650 m²  400 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 445.000
 1690 m²  1100 m²  5 hab.  5 baños  8 estac. ,"Puembo, Quito",USD 1.250.000
 684 m²  707 m²  3 hab.  3 baños ,"Nayón - Tanda, Quito",USD 420.000
 1000 m²  1000 m²  6 hab.  4 baños  10 estac. ,"Los Chillos, Quito",USD 205.000
 130 m²  130 m²  3 hab.  3 baños  2 estac. ,"Sangolqui, Quito",USD 135.000
 575 m²  575 m²  3 hab.  3 baños  2 estac. ,"Ponceano, Quito",USD 225.000
 293 m²  195 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 270.000
 762 m²  762 m²  8 hab.  4 baños ,"Norte de Quito, Quito",USD 350.000
 1500 m²  600 m²  3 hab.  3 baños  3 estac. ,"Puembo, Quito",USD 1.700.000
 1460 m²  390 m²  3 hab.  3 baños  20 estac. ,"Nayón - Tanda, Quito",USD 400.000
 30 m²  115 m²  3 hab.  2 baños  1 estac. ,"San Rafael, Quito",USD 90.000
 353 m²  353 m²  3 hab.  3 baños  3 estac. ,"Carcelén, Quito",USD 230.000
 1100 m²  660 m²  5 hab.  6 baños  6 estac. ,"Cumbayá, Quito",USD 1.600.000
 169 m²  169 m²  3 hab.  3 baños  3 estac. ,"Norte de Quito, Quito",USD 148.000
 339 m²  212 m²  3 hab.  2 baños  2 estac. ,"Conocoto, Quito",USD 170.000
 380 m²  380 m²  3 hab.  3 baños ,"Norte de Quito, Quito",USD 200.000
 165 m²  133 m²  3 hab.  2 baños  1 estac. ,"Norte de Quito, Quito",USD 155.000
 400 m²  400 m²  3 hab.  2 baños  2 estac. ,"Centro Norte, Quito",USD 560.000
 218 m²  218 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 280.000
 98 m²  98 m²  3 hab.  1 baño  3 estac. ,"Norte de Quito, Quito",USD 150.000
 767 m²  443 m²  4 hab.  4 baños  3 estac. ,"Centro Norte, Quito",USD 570.000
 293 m²  192 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 240.000
 759 m²  659 m²  4 hab.  4 baños  4 estac. ,"Tumbaco, Quito",USD 1.150.000
 207 m²  135 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 132.000
 444 m²  444 m²  5 hab.  3 baños ,"El Batán, Quito",USD 290.000
 121 m²  121 m²  3 hab.  2 baños ,"Calderón, Quito",USD 95.000
 427 m²  427 m²  3 hab.  6 baños  10 estac. ,"San Rafael, Quito",USD 330.000
 538 m²  246 m²  4 hab.  4 baños  4 estac. ,"Los Chillos, Quito",USD 270.000
 600 m²  600 m²  12 hab.  8 baños ,"Norte de Quito, Quito",USD 250.000
 300 m²  248 m²  5 hab.  5 baños ,"San Rafael, Quito",USD 250.000
 282 m²  232 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 233.000
 1000 m²  518 m²  4 hab.  6 baños  2 estac. ,"Tumbaco, Quito",USD 680.000
 170 m²  153 m²  2 baños ,"Vía Simón Bolivar, Quito",USD 55.000
